TimeStamp,Time,Date,TimeSinceLastEvent,PupilTime,UnityToPupilTimeOffset,GameId,RightControllerMain,MirrorEffect,EyePatch,PrismEffect,DualTask,HitPositionWorldX,HitPositionWorldY,HitPositionWorldZ,ControllerSmoothed,ControllerAimAssistState,LastShotControllerRawPointingDirectionX,LastShotControllerRawPointingDirectionY,LastShotControllerRawPointingDirectionZ,LastShotControllerFilteredPointingDirectionX,LastShotControllerFilteredPointingDirectionY,LastShotControllerFilteredPointingDirectionZ,ParticipantId,TestId,GameState,GameDuration,GameSpeed,GameTimeSpent,GameTimeLeft,WallRowCount,WallColumnCount,WallSizeX,WallSizeY,WallSizeZ,WallCurveRatioX,WallCurveRatioY,PlayedPattern,Event,EventType,MolePositionWorldX,MolePositionWorldY,MolePositionWorldZ,MolePositionLocalX,MolePositionLocalY,MolePositionLocalZ,MoleLifeTime,MoleActivatedDuration,MoleId,MoleIndexX,MoleIndexY,MoleNormalizedIndexX,MoleNormalizedIndexY,MoleSurfaceHitLocationX,MoleSurfaceHitLocationY,RightControllerPosWorldX,RightControllerPosWorldY,RightControllerPosWorldZ,RightControllerRotEulerX,RightControllerRotEulerY,RightControllerRotEulerZ,RightControllerPosTravelX,RightControllerPosTravelY,RightControllerPosTravelZ,RightControllerRotTravelX,RightControllerRotTravelY,RightControllerRotTravelZ,HeadCameraPosWorldX,HeadCameraPosWorldY,HeadCameraPosWorldZ,HeadCameraRotEulerX,HeadCameraRotEulerY,HeadCameraRotEulerZ,HeadCameraRotTravelX,HeadCameraRotTravelY,HeadCameraRotTravelZ,LeftControllerPosWorldX,LeftControllerPosWorldY,LeftControllerPosWorldZ,LeftControllerRotEulerX,LeftControllerRotEulerY,LeftControllerRotEulerZ,LeftControllerPosTravelX,LeftControllerPosTravelY,LeftControllerPosTravelZ,LeftControllerRotTravelX,LeftControllerRotTravelY,LeftControllerRotTravelZ,LeftControllerLaserPosWorldX,LeftControllerLaserPosWorldY,LeftControllerLaserPosWorldZ,LeftControllerLaserRotEulerX,LeftControllerLaserRotEulerY,LeftControllerLaserRotEulerZ,LeftControllerLaserPosTravelX,LeftControllerLaserPosTravelY,LeftControllerLaserPosTravelZ,RightControllerLaserPosWorldX,RightControllerLaserPosWorldY,RightControllerLaserPosWorldZ,RightControllerLaserRotEulerX,RightControllerLaserRotEulerY,RightControllerLaserRotEulerZ,RightControllerLaserPosTravelX,RightControllerLaserPosTravelY,RightControllerLaserPosTravelZ,CurrentMoleToHitId,CurrentMoleToHitIndexX,CurrentMoleToHitIndexY,CurrentMoleToHitPositionWorldX,CurrentMoleToHitPositionWorldY,CurrentMoleToHitPositionWorldZ,CurrentMoleToHitPositionLocalX,CurrentMoleToHitPositionLocalY,CurrentMoleToHitPositionLocalZ,ClosestActiveMoleDistanceX,ClosestActiveMoleDistanceY
2020-03-16 10:14:55.6430,10:14:55.6430,2020-03-16,108.5782,91052.729264,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,NULL,NULL,NULL,NULL,NULL,NULL,1,1,Stopped,153.5000,Normal,NULL,NULL,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Game Started,GameEvent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-16 10:15:09.1236,10:15:09.1236,2020-03-16,13.5147,91066.209783,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,NULL,NULL,NULL,NULL,NULL,NULL,1,1,Playing,153.5000,Normal,13.4976,140.0024,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Mole Spawned,MoleEvent,3.3709,2.3513,5.2897,3.3709,0.5013,4.7397,3.5000,NULL,1004,10,4,1.0000,0.6000,NULL,NULL,-0.3443,0.7609,0.4267,1.3100,3.2636,343.9218,0.5224,0.2936,0.3317,6209.0700,1522.5980,837.7893,-0.4521,1.2582,0.0242,355.8473,1.2449,359.3500,405.0521,2981.0460,386.9846,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.6243,6.5213,1.3100,3.2636,343.9218,8.0303,8.6952,8.6974,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-16 10:15:10.3008,10:15:10.3018,2020-03-16,1.1759,91067.387549,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,0.5891,0.2439,0.7704,0.5837,0.2510,0.7722,1,1,Playing,153.5000,Normal,14.6646,138.8354,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Pointer Shoot,PointerEvent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-16 10:15:10.3048,10:15:10.3048,2020-03-16,0.0000,91067.391382,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,0.5891,0.2439,0.7704,0.5837,0.2510,0.7722,1,1,Playing,153.5000,Normal,14.6646,138.8354,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Mole Hit,MoleEvent,3.3709,2.3513,5.2897,3.3709,0.5013,4.7397,3.5000,1.1670,1004,10,4,1.0000,0.6000,0.0870,0.0564,-0.1302,0.8653,0.4384,345.8826,37.4066,342.2431,0.2161,0.1085,0.0458,377.5040,39.9154,18.6204,-0.4053,1.2565,0.0270,356.9980,23.6397,353.9243,2.6577,24.3193,6.1809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4513,2.4053,5.1767,345.8826,37.4066,342.2431,3.4782,1.9123,1.8729,1004,10,4,3.3709,2.3513,5.2897,3.3709,0.5013,4.7397,NULL,NULL
2020-03-16 10:15:12.6221,10:15:12.6221,2020-03-16,2.3207,91069.708565,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,0.5891,0.2439,0.7704,0.5837,0.2510,0.7722,1,1,Playing,153.5000,Normal,16.9978,136.5022,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Mole Spawned,MoleEvent,-2.7880,3.3225,5.5688,-2.7880,1.4725,5.0188,3.5000,NULL,0205,2,5,0.1111,0.8000,NULL,NULL,-0.3389,0.7862,0.4234,357.0330,3.3986,346.2503,0.2382,0.1146,0.0411,21.7614,42.7681,16.8721,-0.4436,1.2660,0.0155,350.4199,4.6573,357.3857,8.4510,1482.0370,7.8079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0263,1.1186,6.6172,357.0330,3.3986,346.2503,4.0270,2.0006,1.8303,1004,10,4,3.3709,2.3513,5.2897,3.3709,0.5013,4.7397,NULL,NULL
2020-03-16 10:15:13.5264,10:15:13.5264,2020-03-16,0.9100,91070.61234,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,-0.3897,0.4064,0.8264,-0.3852,0.4012,0.8310,1,1,Playing,153.5000,Normal,17.9050,135.5950,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Pointer Shoot,PointerEvent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-16 10:15:13.5284,10:15:13.5284,2020-03-16,0.0000,91070.614954,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,-0.3897,0.4064,0.8264,-0.3852,0.4012,0.8310,1,1,Playing,153.5000,Normal,17.9050,135.5950,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Mole Hit,MoleEvent,-2.7880,3.3225,5.5688,-2.7880,1.4725,5.0188,3.5000,0.9072,0205,2,5,0.1111,0.8000,-0.0315,0.0376,-0.4239,0.8655,0.3614,336.0183,334.7549,3.4645,0.0881,0.0824,0.0626,24.3251,383.0717,379.1996,-0.4773,1.2658,0.0123,350.9213,341.3232,359.4092,1.8284,383.4689,3.4608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.8154,3.3560,5.5202,336.0183,334.7549,3.4645,2.8490,2.3235,1.3495,0205,2,5,-2.7880,3.3225,5.5688,-2.7880,1.4725,5.0188,NULL,NULL
2020-03-16 10:15:16.1460,10:15:16.1460,2020-03-16,2.6196,91073.232449,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,-0.3897,0.4064,0.8264,-0.3852,0.4012,0.8310,1,1,Playing,153.5000,Normal,20.5206,132.9794,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Mole Spawned,MoleEvent,2.7880,2.3513,5.7558,2.7880,0.5013,5.2058,3.5000,NULL,0904,9,4,0.8889,0.6000,NULL,NULL,-0.3322,0.7798,0.4308,355.7491,2.8321,349.7841,0.1377,0.1118,0.0940,26.7554,400.7529,384.4777,-0.4418,1.2655,0.0187,350.9745,5.6738,357.5734,4.3713,385.1406,4.9393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0217,1.2378,6.6404,355.7491,2.8321,349.7841,3.7022,2.5785,1.9226,0205,2,5,-2.7880,3.3225,5.5688,-2.7880,1.4725,5.0188,NULL,NULL
2020-03-16 10:15:17.0720,10:15:17.0720,2020-03-16,0.9268,91074.158633,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,0.4844,0.2094,0.8494,0.4844,0.2154,0.8479,1,1,Playing,153.5000,Normal,21.4497,132.0504,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Pointer Shoot,PointerEvent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-16 10:15:17.0740,10:15:17.0740,2020-03-16,0.0000,91074.160763,90941.4679877118,0020200316101306,False,False,None,0.0000,False,NULL,NULL,NULL,True,None,0.4844,0.2094,0.8494,0.4844,0.2154,0.8479,1,1,Playing,153.5000,Normal,21.4497,132.0504,7,9,5.0000,3.2000,3.0000,0.6000,0.4000,rtii,Mole Hit,MoleEvent,2.7880,2.3513,5.7558,2.7880,0.5013,5.2058,3.5000,0.9290,0904,9,4,0.8889,0.6000,0.0384,-0.1706,-0.2064,0.8319,0.4414,347.9152,29.6942,344.5106,0.1331,0.0633,0.0169,16.6015,32.9141,17.2361,-0.4279,1.2637,0.0210,352.2481,13.4702,356.2457,1.3297,8.9810,1.9491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8216,2.1787,5.7421,347.9152,29.6942,344.5106,3.0349,1.2563,1.2178,0904,9,4,2.7880,2.3513,5.7558,2.7880,0.5013,5.2058,NULL,NULL
