# timestamps [seconds],pts
91052.907067,0
91052.936242,1911
91052.982117,4918
91053.007996,6614
91053.046212,9118
91053.069924,10672
91053.112481,13461
91053.137467,15099
91053.179352,17844
91053.206788,19642
91053.246239,22227
91053.270104,23791
91053.381127,31067
91053.405434,32660
91053.449296,35534
91053.470536,36926
91053.504014,39120
91053.548325,42024
91053.565667,43161
91053.603821,45661
91053.621926,46848
91053.673638,50237
91053.693642,51548
91053.732926,54122
91053.764764,56209
91053.807259,58994
91053.824876,60148
91053.861230,62531
91053.893372,64637
91053.937989,67561
91053.982567,70482
91054.006402,72044
91054.050339,74924
91054.074685,76519
91054.117234,79308
91054.141923,80926
91054.184624,83724
91054.211411,85480
91054.251931,88135
91054.276894,89771
91054.317834,92454
91054.343423,94131
91054.386269,96939
91054.410134,98503
91054.444451,100752
91054.468095,102301
91054.501481,104489
91054.537911,106877
91054.554764,107981
91054.608781,111521
91054.627305,112735
91054.671029,115601
91054.705323,117848
91054.728936,119396
91054.765473,121790
91054.802361,124208
91054.835519,126381
91054.877244,129115
91054.900025,130608
91054.943391,133450
91054.966088,134937
91055.010361,137839
91055.033806,139375
91055.078438,142300
91055.102463,143875
91055.145447,146692
91055.167451,148134
91055.212243,151069
91055.236008,152627
91055.281747,155624
91055.304246,157099
91055.346276,159853
91055.369385,161368
91055.407044,163836
91055.426049,165081
91055.465951,167696
91055.502946,170120
91055.541688,172659
91055.560265,173877
91055.597886,176342
91055.631241,178528
91055.669694,181048
91055.706338,183450
91055.728081,184875
91055.761208,187046
91055.797486,189423
91055.836495,191980
91055.882607,195002
91055.907128,196608
91055.949227,199367
91055.971970,200858
91056.015389,203703
91056.039315,205271
91056.082352,208092
91056.106843,209697
91056.149666,212503
91056.172768,214017
91056.217194,216929
91056.241448,218518
91056.283417,221269
91056.307603,222854
91056.352166,225774
91056.369340,226900
91056.408303,229453
91056.425728,230595
91056.463471,233068
91056.497285,235284
91056.535165,237767
91056.569367,240008
91056.607598,242514
91056.624901,243648
91056.663438,246173
91056.697434,248401
91056.736115,250936
91056.769074,253096
91056.809350,255736
91056.832482,257252
91056.875970,260102
91056.920922,263047
91056.943673,264538
91056.988366,267467
91057.012314,269037
91057.054719,271816
91057.078774,273392
